Lang,Set,Extractor,Percentage
de,train,tags,0.5105273916598528
de,dev,tags,0.4794520547945205
uk,train,tags,0.4407718529340151
uk,dev,tags,0.4329411764705882
zh,train,tags,0.6941483910637426
zh,dev,tags,0.7029702970297029
bn,train,tags,0.677964355619656
bn,dev,tags,0.650197628458498
en,train,tags,0.79966620969184
en,dev,tags,0.7896551724137931
pt,train,tags,0.6640150595093515
pt,dev,tags,0.6635404454865181
fr,train,tags,0.6153381277572973
fr,dev,tags,0.6366822429906542
it,train,tags,0.6004946314392569
it,dev,tags,0.617269544924154
hi,train,tags,0.7773855259059288
hi,dev,tags,0.7563352826510721
sv,train,tags,0.7089597848673757
sv,dev,tags,0.7005847953216374
fa,train,tags,0.8802696078431372
fa,dev,tags,0.8688524590163934
es,train,tags,0.6544493070751276
es,dev,tags,0.64947245017585
de,train,LM,0.19572771872444808
de,dev,LM,0.1761252446183953
uk,train,LM,0.25517409301193084
uk,dev,LM,0.25058823529411767
zh,train,LM,0.3012912482065997
zh,dev,LM,0.3089108910891089
bn,train,LM,0.3424332955599052
bn,dev,LM,0.2984189723320158
en,train,LM,0.3276509507063241
en,dev,LM,0.3390804597701149
pt,train,LM,0.331127034248239
pt,dev,LM,0.32590855803048063
fr,train,LM,0.21351302350879314
fr,dev,LM,0.2383177570093458
it,train,LM,0.27216793340571843
it,dev,LM,0.28004667444574094
hi,train,LM,0.4480323953898868
hi,dev,LM,0.43079922027290446
sv,train,LM,0.456301185674123
sv,dev,LM,0.4128654970760234
fa,train,LM,0.43100490196078434
fa,dev,LM,0.3981264637002342
es,train,LM,0.175054704595186
es,dev,LM,0.14536928487690504
